Disease_Name,Crop,Disease_Type,Severity,Leaf_Color,Spot_Size,Spot_Pattern,Temperature,Humidity,Rainfall_mm,Affected_Area_Perc,Yield_Loss_Perc,Season,State,District,Disease_ID
Common_Rust,Corn,Fungal,Medium,Green,Small,Diamond,22.64,95.22,89.54,32.39,25.16,Winter,Punjab,Ludhiana,1
Esca_Black_Measles,Grape,Fungal,Severe,Yellow,Large,Circular,16.91,75.74,163.04,22.52,7.44,Summer,Punjab,Ludhiana,2
Brown_Rust,Wheat,Fungal,Medium,Brown,Medium,Irregular,31.99,67.98,83.02,52.3,31.71,Winter,Tamil Nadu,Salem,3
Brown_Rust,Wheat,Fungal,Medium,Brown,Medium,Pustules,36.64,76.93,130.53,82,37.72,Winter,Karnataka,Hubballi,4
Apple_Scab,Apple,Fungal,Medium,Gray,Large,Diamond,21.13,76.98,216.27,60.54,18.71,Monsoon,Punjab,Ludhiana,5
Black_Rot,Grape,Fungal,High,Dark_Brown,Medium,Circular,26.06,68.34,114.27,5.79,4.7,Winter,Tamil Nadu,Salem,6
Late_Blight,Tomato,Fungal,High,Green,Medium,Irregular,34.32,80.08,177.17,58.8,36.12,Monsoon,Uttar Pradesh,Lucknow,7
Esca_Black_Measles,Grape,Fungal,High,Gray,Small,Diamond,17.39,84.28,76.79,84.28,57.91,Monsoon,Karnataka,Mysuru,8
Early_Blight,Tomato,Fungal,Medium,Green,Large,Stripes,22.26,57.3,41.65,48.26,35.34,Summer,Karnataka,Mysuru,9
Brown_Spot,Rice,Fungal,Medium,Brown,Large,Diamond,34.92,79.54,13.22,33.16,19.64,Summer,Uttar Pradesh,Varanasi,10
Leaf_Blast,Rice,Fungal,Severe,Gray,Medium,Pustules,32.62,83.4,84.11,79.63,52.47,Summer,Maharashtra,Nashik,11
Bacterial_Spot,Tomato,Bacterial,Severe,Yellow,Medium,Pustules,26.27,77.53,31.96,30.49,9.49,Winter,Maharashtra,Nagpur,12
Brown_Rust,Wheat,Fungal,Medium,Gray,Large,Irregular,31.28,64.59,259.38,15.52,13.39,Summer,Maharashtra,Nashik,13
Brown_Spot,Rice,Fungal,High,Yellow,Large,Concentric,15.99,92.26,85.28,65.61,34.58,Winter,Maharashtra,Pune,14
Black_Rot,Apple,Fungal,Severe,Green,Large,Pustules,29.13,97.96,261.47,34.07,26.43,Summer,Maharashtra,Pune,15
Brown_Spot,Rice,Fungal,Medium,Dark_Brown,Medium,Pustules,23.25,71.92,69.01,41.12,27.29,Summer,Maharashtra,Nagpur,16
Brown_Spot,Rice,Fungal,High,Brown,Large,Irregular,37.31,71.73,241.54,24.21,18.31,Summer,Punjab,Ludhiana,17
Apple_Scab,Apple,Fungal,High,Yellow,Small,Pustules,35.54,83.07,3.46,30.73,20.66,Summer,Punjab,Amritsar,18
Common_Rust,Corn,Fungal,Severe,Gray,Medium,Pustules,33.58,57.46,123.97,37.58,22.22,Winter,Punjab,Amritsar,19
Apple_Scab,Apple,Fungal,High,Dark_Brown,Small,Concentric,31.18,84.78,276.46,62.86,49.08,Winter,Uttar Pradesh,Lucknow,20
Yellow_Rust,Wheat,Fungal,Medium,Gray,Medium,Pustules,35.16,92.04,94.56,18.05,12.61,Monsoon,Punjab,Ludhiana,21
Early_Blight,Tomato,Fungal,Medium,Yellow,Small,Circular,32.94,72.35,154.34,78.47,27.8,Summer,Karnataka,Mysuru,22
Yellow_Rust,Wheat,Fungal,Medium,Gray,Medium,Diamond,16.62,80.59,265.37,59.98,35.42,Winter,Maharashtra,Nashik,23
Bacterial_Spot,Tomato,Bacterial,High,Yellow,Small,Diamond,26.37,58.66,163.63,10.2,6.61,Monsoon,Maharashtra,Nashik,24
Black_Rot,Grape,Fungal,Medium,Yellow,Small,Irregular,21.55,79.96,3.54,62.96,19.5,Summer,Uttar Pradesh,Kanpur,25
Black_Rot,Grape,Fungal,Medium,Green,Large,Stripes,24.6,63.65,206.49,37.14,23.12,Winter,Uttar Pradesh,Lucknow,26
Brown_Rust,Wheat,Fungal,Medium,Gray,Small,Concentric,28.48,60.49,17.26,48.73,23.33,Summer,Tamil Nadu,Salem,27
Black_Rot,Apple,Fungal,High,Green,Large,Diamond,17.69,59.77,106.21,65.31,43.5,Monsoon,West Bengal,Kolkata,28
Apple_Scab,Apple,Fungal,High,Green,Medium,Pustules,31.36,68.75,203.08,48.58,31.79,Winter,West Bengal,Siliguri,29
Northern_Leaf_Blight,Corn,Fungal,Medium,Gray,Medium,Circular,17.7,92.4,32.39,17.7,9.01,Summer,Uttar Pradesh,Kanpur,30
Early_Blight,Tomato,Fungal,Severe,Gray,Large,Circular,25.26,72.99,63.13,84.67,75.25,Monsoon,Maharashtra,Nashik,31
Apple_Scab,Apple,Fungal,High,Brown,Large,Stripes,35.35,81.66,20.44,80.09,50.58,Summer,Maharashtra,Pune,32
Leaf_Blast,Rice,Fungal,Severe,Brown,Small,Pustules,28.98,88.68,82.35,52.12,22.09,Summer,West Bengal,Kolkata,33
Common_Rust,Corn,Fungal,Severe,Green,Medium,Irregular,23.32,83.26,257.79,46.85,15.77,Summer,Punjab,Ludhiana,34
